,значение
2018-01-01,95.35921573035941
2018-01-02,117.37447295797512
2018-01-03,116.91219182623891
2018-01-04,106.76263631501503
2018-01-05,98.76330929597256
2018-01-06,90.59048863902107
2018-01-07,96.81634502986084
2018-01-08,96.25808987069259
2018-01-09,113.19881358095809
2018-01-10,106.03746471131868
2018-01-11,94.93096174681558
2018-01-12,91.55877562960802
2018-01-13,81.8837116530788
2018-01-14,87.39375882781093
2018-01-15,101.74932079268433
2018-01-16,114.4285047428082
2018-01-17,120.19944877145258
2018-01-18,115.08658693612301
2018-01-19,98.1696244497436
2018-01-20,92.53460147514127
2018-01-21,93.46684524179341
2018-01-22,100.1008180924616
2018-01-23,104.37947800796988
2018-01-24,102.77836036742468
2018-01-25,105.32689828979494
2018-01-26,97.88307019432561
2018-01-27,86.7382914465669
2018-01-28,86.01810648631637
2018-01-29,99.00456472243893
2018-01-30,118.64709975505524
2018-01-31,114.82477815701178
2018-02-01,102.91943847054827
2018-02-02,91.50454764677421
2018-02-03,81.45674312700213
2018-02-04,90.94652577174918
2018-02-05,93.19891369824875
2018-02-06,119.60180248348118
2018-02-07,118.62675822496723
2018-02-08,104.65671392102226
2018-02-09,90.89251216190733
2018-02-10,87.44412323219117
2018-02-11,88.98989357723086
2018-02-12,99.57236127411417
2018-02-13,108.5682931720447
2018-02-14,111.26664043022681
2018-02-15,106.54500501739967
2018-02-16,92.9622943169599
2018-02-17,92.310747136101
2018-02-18,89.21745688331185
2018-02-19,104.23539959378392
2018-02-20,112.52259606864565
2018-02-21,114.22119885523296
2018-02-22,100.08348387568584
2018-02-23,95.20874319105482
2018-02-24,87.15176650243656
2018-02-25,88.21337522818784
2018-02-26,93.31009690602455
2018-02-27,107.31238888695597
2018-02-28,106.67557591557924
2018-03-01,104.57697746165468
2018-03-02,94.91558981718289
2018-03-03,88.12303124680729
2018-03-04,89.11478202617091
2018-03-05,104.19579902720267
2018-03-06,116.8019362958423
2018-03-07,118.56188673161253
2018-03-08,108.27856464175913
2018-03-09,88.4651157642638
2018-03-10,88.15452514754217
2018-03-11,100.47046147345831
2018-03-12,105.26279559449169
2018-03-13,105.3027647785211
2018-03-14,114.51575594900811
2018-03-15,107.70812470614162
2018-03-16,96.34269565356263
2018-03-17,91.36796551323965
2018-03-18,87.46184838144009
2018-03-19,112.09480307387997
2018-03-20,112.6404372427039
2018-03-21,117.60350869591174
2018-03-22,105.95207508469086
2018-03-23,99.4207886415503
2018-03-24,84.32866379258697
2018-03-25,83.24313554202283
2018-03-26,99.17989059422803
2018-03-27,115.58404876395619
2018-03-28,126.23806092597113
2018-03-29,105.92653910011958
